"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","plot_label"
"A_23_P116280",1.21717735,3.673644275,2.90495872915274,0.0226522143545791,0.0226522143545791,-4.17537897225451,"WT1","WT1"
"A_21_P0004592",-0.317845950000001,6.99773695,-2.90361619741868,0.0226957820272592,0.0226957820272592,-4.17562910969382,"XLOC_005126","XLOC_005126"
"A_33_P3270826",-1.2059104,4.363443725,-2.9031689643822,0.0227103151964941,0.0227103151964941,-4.17571246395225,"THEM5","THEM5"
"A_33_P3279581",-0.993509850000001,7.4265191,-2.90301049115299,0.0227154672565938,0.0227154672565938,-4.17574200304268,"CSNK1G1","CSNK1G1"
"A_21_P0013050",0.638148649999999,4.7152471,2.90126641979926,0.0227722495728275,0.0227722495728275,-4.17606720562678,"LOC100505903","LOC100505903"
"A_32_P10936",1.829450025,5.8743682125,2.90111414059389,0.0227772144788549,0.0227772144788549,-4.17609560955064,"CDH12","CDH12"
"A_21_P0000670",0.537068225000001,6.6494484625,2.90093760017633,0.0227829718255613,0.0227829718255613,-4.17612854074981,"EFTUD1","EFTUD1"
"A_21_P0009776",0.965155225,4.4547963875,2.89910335057627,0.0228428813746753,0.0228428813746753,-4.17647081852881,"XLOC_013413","XLOC_013413"
"A_32_P155460",0.47643955,5.6060466,2.89761889968141,0.0228914875551801,0.0228914875551801,-4.17674798769374,"LINC00162","LINC00162"
"A_23_P120744",0.399091500000003,10.391476,2.89758413267747,0.0228926272562407,0.0228926272562407,-4.17675448098335,"MCM3AP","MCM3AP"
"A_23_P160200",0.9427786,6.47117455,2.89735989434119,0.0228999794758952,0.0228999794758952,-4.17679636299727,"ZNF643","ZNF643"
"A_33_P3270514",2.01496945,2.989844025,2.89613515388287,0.0229401796411104,0.0229401796411104,-4.17702517282944,"NBLA00301","NBLA00301"
"A_23_P315843",0.587463949999999,6.459863675,2.89603550009097,0.0229434538908364,0.0229434538908364,-4.17704379488583,"NCOA5","NCOA5"
"A_33_P3383936",0.42269415,5.031177425,2.89391919082128,0.0230131043387076,0.0230131043387076,-4.17743942155047,"DHX30","DHX30"
"A_21_P0006502",-1.4064823,5.82289775,-2.89355930895931,0.0230249706717367,0.0230249706717367,-4.17750672838828,"XLOC_008000","XLOC_008000"
